Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Bruce Sacerdote","Bruce Sacerdote",14d87f5b-b083-4c0c-8246-4cd9d254cc5a,YES,YES,YES,"","Managing Director at Insight Partners","SaaS; AI/ML",""
"Bruno Werneck de Almeida","Plaid",74f5cd12-1d20-418f-8364-bb7a02e6b585,YES,YES,YES,"https://linkedin.com/in/bruno-werneck-de-almeida","","Crypto/Blockchain; Ecommerce; Fintech","Pre-seed; Seed"
"Bryan Kim","Bryan Kim",2f536b0c-af9b-4499-9389-e9a7d81cbfda,YES,YES,YES,"https://linkedin.com/in/bryan-kim","Andreessen Horowitz General Partner focusing on consumer AI investments","SaaS; AI/ML","Seed; Series A"
"Bryan Schreier","Bryan Schreier",ecad6f80-0115-4cbb-8303-1c2915483259,YES,YES,YES,"https://linkedin.com/in/bryan-schreier","Sequoia Capital Partner focused on Seed/Early stage investments","SaaS; AI/ML","Seed; Series A"
"Bryan Schreier (Sequoiacap)","Sequoia Capital",7cfc31a0-1b0d-4fc8-a591-f376aa522987,YES,YES,NO,"https://linkedin.com/in/bryan-schreier","Seed/Early stage investor at Sequoia Capital","AI/ML; SaaS; Consumer; Fintech","Seed; Series A; Series B; Growth"
"Bryant Lau","Bryant Lau",381ffdcb-9dc9-45a5-a0aa-28b84fec7151,YES,YES,YES,"https://linkedin.com/in/bryant-lau","Scout Partner","SaaS; AI/ML","Seed; Series A"
"Bucky Moore (Lightspeed)","Lightspeed Venture Partners",259444d8-a2fa-4521-ae6a-1272aec2c7ba,YES,YES,NO,"https://linkedin.com/in/bucky-moore","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Buenavista","Buenavista",04ec442a-d5a7-42c5-85d6-8ac350611041,YES,YES,YES,"https://linkedin.com/in/buenavista","Private equity firm, portfolio company Eugin acquiring Instituto Bernabeu","SaaS; AI/ML","Seed; Series A"
"Building Cornerstones Every (Firstround)","Building Cornerstones Every (Firstround)",7780e102-9168-4038-9e38-e78198fd716d,YES,YES,YES,"","Team member at Firstround. Discovered from: https://firstround.com/review/","SaaS; AI/ML",""
"building SaaS channel (Bvp)","building SaaS channel (Bvp)",2e713649-39d1-48e5-a891-f014ae75e449,YES,YES,NO,"https://linkedin.com/in/building-saas-channel","","SaaS; Cloud Computing; AI","Seed; Series A"
"built our fund","built our fund",541d8833-21bd-434e-8231-ed14247560bf,YES,YES,YES,"https://linkedin.com/in/built-our-fund","","SaaS; AI/ML","Seed; Series A"
"Bullish Brand Fund","Bullish Brand Fund",736f049c-1482-4de2-a36d-29d761090160,YES,YES,NO,"https://linkedin.com/in/bullish-brand-fund","","AI; SaaS; HealthTech","Seed; Series A"
"Bullpen Capital","Bullpen Capital",66d6a3c5-dd4e-4486-9b2d-6ae3eb5be761,YES,NO,YES,"","Bullpen Capital is a venture capital firm focused on AI/ML investing at Seed and Series A stage.","AI/ML","Seed; Series A"
"but private equity","but private equity",49778f5f-b026-4e17-b2b2-7ff653e9dae6,YES,YES,YES,"https://linkedin.com/in/but-private-equity","","SaaS; AI/ML","Seed; Series A"
"but private equity","but private equity",afb12e50-2ad7-4a88-b163-470d8d5493dd,YES,NO,YES,"https://linkedin.com/in/but-private-equity","but private equity is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Bvp (Bessemer Venture Partners)","Bvp (Bessemer Venture Partners)",edd93a0b-d629-4e5a-9de2-e86ce8cf7115,YES,YES,YES,"","Venture capital firm focused on investing in technology startups","SaaS; Cloud; Healthcare","Seed; Series A; Series B; Growth"
