Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"and Trust Ventures. In conjunction with the fund","and Trust Ventures. In conjunction with the fund",9d0188ed-c9c4-4774-a8b9-ec3ff690a931,YES,YES,YES,"","Discovered from: FinSMEs","FinTech; HealthTech","Seed; Series A"
"André Dubois","André Dubois",7a63163e-725c-4488-afbd-d8678ea677c0,YES,YES,YES,"https://linkedin.com/in/andr-dubois","Index Ventures Investor","SaaS; AI/ML","Seed; Series A"
"André Dubois (Index Ventures)","Index Ventures",9940dab5-5e97-41f9-bd76-c187e4c57aad,YES,YES,NO,"https://linkedin.com/in/andr-dubois","André Dubois is a partner at Index Ventures. Backs exceptional entrepreneurs across US and Europe","SaaS; Fintech; Consumer","Seed; Series A; Series B"
"Andrea Black","Andrea Black",56f492cb-e4bd-4bbd-86de-8d763f8c35f6,YES,YES,YES,"https://linkedin.com/in/andrea-black","Chief Operating Officer","SaaS; AI/ML","Seed; Series A"
"Andrea Black (Matrix Partners)","Andrea Black (Matrix Partners)",962ca0a6-1847-452f-9983-3a3881414473,YES,YES,YES,"https://linkedin.com/in/andrea-black","COO at Matrix Partners","SaaS; AI/ML","Seed; Series A"
"Andrea Hippeau","Andrea Hippeau",3e26fa9f-d1d0-4e59-8383-99d67539129a,YES,NO,YES,"https://linkedin.com/in/andrea-hippeau","Partner at Lererhippeau since 2014","SaaS; AI/ML","Seed; Series A"
"Andrea Hippeau (Lerer Hippeau)","Andrea Hippeau (Lerer Hippeau)",a1b0d4ea-80d0-469b-92ed-9c4aa51d6315,YES,NO,YES,"https://linkedin.com/in/andrea-hippeau","Partner at Lerer Hippeau since 2014","Generalist","Seed"
"Andrea Hippeau Andrea (Lererhippeau)","Andrea Hippeau Andrea (Lererhippeau)",8b1debb7-be0a-48c1-b532-eaac93fc5a69,YES,YES,YES,"https://linkedin.com/in/andrea-hippeau-andrea","","SaaS; AI/ML","Seed; Series A"
"Andrea Jackson","Andrea Jackson",c106c860-8f16-4a5f-8452-b94153eb205a,YES,YES,YES,"https://linkedin.com/in/andrea-jackson","Partner at Northpondventures","SaaS; AI/ML","Seed; Series A"
"Andrea Jackson (North Pond Ventures)","Andrea Jackson (North Pond Ventures)",4d8fb4c7-5ca9-4d28-a815-2c10f2aa37af,YES,YES,YES,"https://linkedin.com/in/andrea-jackson","Partner","SaaS; AI/ML","Seed; Series A"
"Andreessen Horowitz","Andreessen Horowitz",fa8133bc-96f6-4b81-ba07-e6d5c7a20367,YES,YES,NO,"https://linkedin.com/in/andreessen-horowitz","Influential Silicon Valley VC firm with tech focus.","AI/ML; SaaS; Fintech; Healthcare; Consumer; Defense; Crypto; Robotics","Seed; Series A; Series B; Series C"
"Andreessen Horowitz (a16z)","Andreessen Horowitz",659ab08d-8115-4d59-b0de-9a292123b071,YES,YES,NO,"https://linkedin.com/in/andreessen-horowitz","A venture capital firm that backs bold entrepreneurs building the future through technology. Stage agnostic with $46B in committed capital, led by general partners who are former founders/operators wi","Artificial intelligence; Bio + healthcare; E-commerce; Crypto; Saas; Fintech; Games; Developer tools; American dynamism","Pre-Seed; Series C+"
"Andrei Brasoveanu","Andrei Brasoveanu",f71f8e11-215f-4775-b8dc-939050c39c6a,YES,YES,YES,"https://linkedin.com/in/andrei-brasoveanu","Accel Partner, London","SaaS; AI/ML","Seed; Series A"
"Andrew Braccia","Andrew Braccia",f76dac01-239b-4872-9f70-cf2b5e9b0f97,YES,YES,YES,"https://linkedin.com/in/andrew-braccia","Accel Partner based in Bay Area","SaaS; AI/ML","Seed; Series A"
"Andrew Braccia (Accel)","Accel",ea8b66d5-d7ff-4ee5-9b46-cf67c5ff402f,YES,YES,NO,"https://linkedin.com/in/andrew-braccia","Based in Bay Area, Early Stage/Late Stage specialty, focuses on Cloud/SaaS, Consumer, Media","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Andrew Ciatto","Andrew Ciatto",54ef8149-beba-4277-b1f2-6162f5fdfb7c,YES,YES,YES,"https://linkedin.com/in/andrew-ciatto","Team Member at Ribbitcap","SaaS; AI/ML","Seed; Series A"
"Andrew Ciatto (Ribbit Capital)","Andrew Ciatto (Ribbit Capital)",76aa3f8e-23d4-46d0-aa56-4dd64862863a,YES,NO,YES,"https://linkedin.com/in/andrew-ciatto","Andrew Ciatto is an investor at Ribbit Capital focused on technology investing at seed and series_a stage.","technology","seed; series_a"
"Andrew Cleland","Andrew Cleland",e0185de5-70d2-4cd1-b16f-31c73dd7c380,YES,YES,YES,"https://linkedin.com/in/andrew-cleland","Managing Director at Insight Partners","SaaS; Enterprise","Series B; Growth"
"Andrew Hall","Andrew Hall",d5af3c78-afc5-43ee-9944-eec99f166916,YES,YES,YES,"https://linkedin.com/in/andrew-hall","Research Advisor at A16zcrypto","SaaS; AI/ML","Seed; Series A"
"Andrew Hall (A16zcrypto)","Andreessen Horowitz",63656069-2715-419f-8c4f-2782bc13eb4b,YES,YES,NO,"https://linkedin.com/in/andrew-hall","Research Advisor at A16zcrypto","AI/ML; Crypto; SaaS; Consumer","Seed; Series A; Series B; Growth"
"Andrew Hall Research (A16zcrypto)","Andreessen Horowitz",43a07550-0d50-4517-82aa-daf2c7786549,NO,YES,NO,"https://linkedin.com/in/andrew-hall-research","Andrew Hall Research is a partner at Andreessen Horowitz. Invests in software eating the world - consumer, enterprise, crypto, bio across all stages","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics; HealthTech; Biotech","Seed; Series A; Series B; Growth"
"Andrew Jefferson","Andrew Jefferson",601dc957-309d-479c-8e89-686bf8be5164,YES,YES,YES,"https://linkedin.com/in/andrew-jefferson","Operating Partner at Versantventures","SaaS; AI/ML","Seed; Series A"
"Andrew Jefferson (Versant Ventures)","Andrew Jefferson (Versant Ventures)",7982fe72-5661-4c5d-a5fb-daf9258c6787,YES,YES,YES,"https://linkedin.com/in/andrew-jefferson","Operating Partner","SaaS; AI/ML","Seed; Series A"
"Andrew Lee, Ph.D.","Andrew Lee, Ph.D.",4e7b82b4-9d4d-40d9-8344-4bd4804c7f80,YES,YES,YES,"https://linkedin.com/in/andrew-lee","Managing Director at Northpondventures","SaaS; AI/ML","Seed; Series A"
"Andrew Lee, Ph.D. (North Pond Ventures)","Andrew Lee, Ph.D. (North Pond Ventures)",0ffd1d31-72ae-46b1-a1c6-1da0f8f069ce,YES,YES,YES,"https://linkedin.com/in/andrew-lee","Managing Director","SaaS; AI/ML","Seed; Series A"
"Andrew Sather","Andrew Sather",78f40e2c-2d89-43c4-8819-b996787210ce,YES,YES,YES,"https://linkedin.com/in/andrew-sather","Partner at Initialized","SaaS; Consumer; Developer Tools","Pre-Seed; Seed"
"Andrew Schoen","Andrew Schoen",32a35fd6-47dc-440c-9cf4-d294a1275022,YES,YES,YES,"https://linkedin.com/in/andrew-schoen","Partner","SaaS; AI/ML","Seed; Series A"
"Andrew Verhalen","Andrew Verhalen",7a6514c5-0046-4099-8bc6-c2b1f7f6320d,YES,YES,YES,"https://linkedin.com/in/andrew-verhalen","Focuses on Infrastructure investments","SaaS; AI/ML","Seed; Series A"
"Andrew Verhalen (Matrix Partners)","Andrew Verhalen (Matrix Partners)",3be76e44-7ee0-491b-9745-cdc7d75f265d,YES,YES,YES,"https://linkedin.com/in/andrew-verhalen","Partner at Matrix Partners focusing on Infrastructure investments","SaaS; AI/ML","Seed; Series A"
"Andy May Operating (Dcvc)","Andy May Operating (Dcvc)",cc42946e-2406-49e6-b28c-ad4e7ab960b5,YES,YES,YES,"","Team member at Dcvc. Discovered from: https://www.dcvc.com/team","SaaS; AI/ML",""
"Andy McLoughlin","Andy McLoughlin",eb1efe69-2471-4f0f-be1b-a295281bdcd3,YES,YES,YES,"https://linkedin.com/in/andy-mcloughlin","Managing Partner at Uncorkcapital","SaaS; AI/ML","Seed; Series A"
"Andy McLoughlin (Uncork Capital)","Andy McLoughlin (Uncork Capital)",fd4eaeb9-ea02-4f38-bb15-f343528373cb,YES,YES,YES,"https://linkedin.com/in/andy-mcloughlin","Managing Partner at Uncork Capital","AI/ML; API; SaaS","Seed"
"Andy McLoughlin Founding (Uncorkcapital)","Andy McLoughlin Founding (Uncorkcapital)",782a5d36-4f30-48b5-b2fd-b13c47e0ec73,YES,NO,YES,"https://linkedin.com/in/andy-mcloughlin-founding","Andy McLoughlin Founding is an investor at Andy McLoughlin Founding (Uncorkcapital) focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Andy McLoughlin Managing (Uncorkcapital)","Andy McLoughlin Managing (Uncorkcapital)",96761472-bd73-4b11-bae4-bd7056e7735b,YES,NO,YES,"https://linkedin.com/in/andy-mcloughlin-managing","Andy McLoughlin Managing is an investor at Andy McLoughlin Managing (Uncorkcapital) focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Aner Mazur","Aner Mazur",8d219b23-1952-415c-a391-9207a27d02c1,YES,YES,YES,"https://linkedin.com/in/aner-mazur","Team member at Accel","SaaS; AI/ML","Seed; Series A"
"Angel Capital","Angel Capital",fcc9cefb-cb9f-4f05-8c29-6b3a176e3f1b,YES,NO,YES,"https://linkedin.com/in/angel-capital","Angel Capital is a vc firm focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Angel Capital","Angel Capital",691a33d8-f46f-44c6-a33f-8c40765c1ecf,YES,YES,NO,"https://linkedin.com/in/angel-capital","","AI; SaaS; HealthTech","Seed; Series A"
"Angel Capital Association","Angel Capital Association",b042a0bd-dc88-4b81-8c89-6300da08f693,YES,NO,YES,"https://linkedin.com/in/angel-capital-association","World's largest community of angel investors representing and connecting the most active seed-stage investors globally","SaaS; AI/ML","Seed; Series A"
"Angel Capital Association (ACA)","Angel Capital Association (ACA)",b9e140c1-3cab-452f-b6b7-152dae9d23a5,YES,NO,YES,"https://linkedin.com/in/angel-capital-association","World's largest community of angel investors representing and connecting active seed-stage investors","SaaS; AI/ML","Seed; Series A"
"Angel Squad","Angel Squad",0595e2d6-c40c-4441-8ba3-166c380bdbfc,YES,YES,YES,"https://linkedin.com/in/angel-squad","Community of 2000+ angel investors from all walks of life.","technology","seed; series_a"
"Angela Strange","Angela Strange",edeb34b2-38a0-4412-bbe9-4267570a3aa4,YES,YES,YES,"","General Partner at Nyca Partners","Technology","Seed; Series A"
"Angela Tran","Angela Tran",e7eeb0b0-f115-41f7-a96e-51afabb78db9,YES,YES,YES,"https://linkedin.com/in/angela-tran","Partner at Version One Ventures, focusing on marketplaces seed investments","SaaS; AI/ML","Seed; Series A"
