Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Alex Morgan (Khosla Ventures)","Khosla Ventures",42e266da-1d9d-4d81-8344-c887a4bf8c18,YES,YES,NO,"https://linkedin.com/in/alex-morgan","Alex Morgan is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Alex Sharata","Alex Sharata",d9e26337-834e-4ac9-aceb-7a93249f5448,YES,NO,YES,"https://linkedin.com/in/alex-sharata","Alex Sharata is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Alex Sharata (Nea)","New Enterprise Associates",461eac45-cc54-46af-bef4-58357318de84,YES,YES,NO,"https://linkedin.com/in/alex-sharata","Alex Sharata is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer","Seed; Series A; Series B; Growth"
"Alex Stamos","Alex Stamos",3a8296b6-5751-4ed7-95e8-f635feafb1a9,YES,YES,YES,"","Advisor at Felicis","Technology","Seed; Series A"
"Alex Stamos (Felicis)","Alex Stamos (Felicis)",317bb5bd-1069-4f82-83c0-898ceda78947,YES,YES,YES,"https://linkedin.com/in/alex-stamos","Advisor","SaaS; Consumer; Fintech","Seed; Series A"
"Alex Taussig","Alex Taussig",7b25c696-ca01-44ba-a7b7-ac81f271dd16,YES,YES,YES,"https://linkedin.com/in/alex-taussig","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alex Taussig (Lightspeed)","Lightspeed Venture Partners",85ef330c-9b4e-453d-95c0-670724a544c6,YES,YES,NO,"https://linkedin.com/in/alex-taussig","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alex Walter","Alex Walter",64423c23-b24f-4bae-a7a1-5402cc622fb6,YES,YES,YES,"https://linkedin.com/in/alex-walter","Head Trader, Partner at Paradigm","technology","seed; series_a"
"Alex Walterspeiel","Alex Walterspeiel",34be41fe-9f08-4b59-b46a-4a1007f2dd64,YES,YES,YES,"","Head Trader, Partner","SaaS; AI/ML",""
"Alex Walterspiegel","Alex Walterspiegel",97820c74-4016-4c4b-80c7-1663f809bcef,YES,YES,YES,"https://linkedin.com/in/alex-walterspiegel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alex Walterspriel","Alex Walterspriel",80a8cdde-023c-4c20-aa7a-0b5293f6d5ff,YES,YES,YES,"https://linkedin.com/in/alex-walterspriel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alex Waltersspiel","Alex Waltersspiel",b7a6099e-7000-4f59-a527-81d1240b4361,YES,YES,YES,"https://linkedin.com/in/alex-waltersspiel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alexa Lyons","Alexa Lyons",e3d59e04-3008-4bd9-b6fb-d9967a0b94e1,YES,YES,YES,"https://linkedin.com/in/alexa-lyons","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alexa Lyons (Spark Capital)","Alexa Lyons (Spark Capital)",a6d7482b-df38-4313-8d6f-f8cda3f3cac5,YES,YES,YES,"https://linkedin.com/in/alexa-lyons","Operations team member at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alexander Schmitt","Alexander Schmitt",97c965e7-9948-47ad-8c39-4b19c5d55cac,YES,YES,YES,"https://linkedin.com/in/alexander-schmitt","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alexander Schmitt (Lightspeed)","Lightspeed Venture Partners",f938674f-d833-49e8-939f-a6d1318e13c0,YES,YES,NO,"https://linkedin.com/in/alexander-schmitt","Partner at Lightspeed, focuses on AI, Europe","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alexandr Wang","Alexandr Wang",ac4694e6-f845-42db-b0ab-c5729e239f9e,YES,YES,YES,"https://linkedin.com/in/alexandr-wang","AI technology entrepreneur","SaaS; AI/ML","Seed; Series A"
"Alexandra Frumar","Alexandra Frumar",547b54c0-1f90-48b0-8f50-d8cf3d09ae36,YES,YES,YES,"https://linkedin.com/in/alexandra-frumar","General Counsel at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
