Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"122WEST Ventures","122WEST Ventures",767fd856-3ecd-4cb9-8f72-cc256a0b6529,YES,YES,YES,"https://linkedin.com/in/122west-ventures","","Internet and software","Seed"
"1Up Ventures","1Up Ventures",7c010497-ceea-4a7e-af32-879f799c8a96,YES,YES,YES,"https://linkedin.com/in/1up-ventures","","Female Founders; Media and Entertainment","Seed; Series A"
"25madison","25madison",62b9a77d-3802-4e23-82e6-fc814e3354f6,YES,YES,NO,"https://linkedin.com/in/25madison","","AI; SaaS; HealthTech","Seed; Series A"
"406 Ventures","406 Ventures",f7683f77-2b82-49a4-9e80-fd3db3883895,YES,YES,YES,"https://linkedin.com/in/406-ventures","","SaaS; Security; Media/Content; Female Founders","Seed"
"500 Global","500 Global",aeea1551-39f0-44d7-a1be-aecbb3d31196,YES,YES,YES,"https://500.co","500 Global (formerly 500 Startups) is a venture capital firm with $2.3B in AUM investing in founders with a global outlook building fast-growing startups","technology","seed; series_a"
"500 Startups","500 Startups",d882ac3c-2c3f-4a78-9258-d0526002c3cd,YES,NO,YES,"https://linkedin.com/in/500-startups","500 Global (formerly 500 Startups) is one of the most active venture capital firms globally, having invested in 2,700+ companies across 80+ countries.","Industry/Sector Agnostic","Pre-Seed"
"645 Ventures","645 Ventures",2878ba69-f92f-4600-b3e6-99a05f6d3e74,YES,YES,NO,"https://linkedin.com/in/645-ventures","","AI; SaaS; Fintech","Seed; Series A"
"7BC Venture Capital","7BC Venture Capital",8581e7da-103e-4571-90f7-cb37bdabbf9c,YES,YES,YES,"https://linkedin.com/in/7bc-venture-capital","","AI; FinTech; Software Infrastructure & B2B software","Series A"
"A Little Background On Fusion Fund","A Little Background On Fusion Fund",38748f92-e134-4873-9e1e-3ea5929cda08,YES,YES,YES,"","Discovered from: Crunchbase","SaaS","Seed; Series A"
"a16z","Andreessen Horowitz",ae21e9e7-e3ba-4a9b-aeae-5ad6c219f0b4,YES,YES,NO,"https://linkedin.com/in/a16z","Andreessen Horowitz, a Silicon Valley-based venture capital firm","technology","seed; series_a"
"Aaref Hilaly","Aaref Hilaly",2f4bd214-3cb1-412e-bee8-35895ea337bf,YES,YES,YES,"https://linkedin.com/in/aaref-hilaly","Partner at Bain Capital Ventures, focusing on SaaS seed investments","SaaS; infrastructure software; security; fintech; proptech","Seed; Series A"
"Aaron Frank","Aaron Frank",e7745170-b829-4946-a6be-cfb4ef3409f2,YES,YES,YES,"https://linkedin.com/in/aaron-frank","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Aaron Frank (Lightspeed)","Lightspeed Venture Partners",4dfd9ca0-9299-4765-9807-1cd052604be1,YES,YES,NO,"https://linkedin.com/in/aaron-frank","Partner at Lightspeed, focuses on fintech, US","Enterprise; Consumer; Fintech; SaaS","Seed; Series A; Series B"
"Aaron Jacobson","Aaron Jacobson",ae561bf6-5950-451e-8f59-492c248a483a,YES,NO,YES,"https://linkedin.com/in/aaron-jacobson","Aaron Jacobson is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Aaron Katz","Aaron Katz",af1916ed-f29a-4c2f-b19e-d2eb34ea408b,YES,YES,YES,"https://linkedin.com/in/aaron-katz","Silicon Valley tech leader, fierce competitor","SaaS; AI/ML","Seed; Series A"
"Aashay Sanghvi","Aashay Sanghvi",8aa62a84-4cbc-4c8d-a9cd-1a7494892587,YES,YES,YES,"","Partner at Haystack, works on investment activities and founder support","SaaS; AI/ML",""
"Aashay Sanghvi (Haystack)","Aashay Sanghvi (Haystack)",71d72e87-fa88-4c96-88bf-078302f5690d,YES,YES,YES,"https://linkedin.com/in/aashay-sanghvi","Partner at Haystack. Works on all investment activity from identifying new companies to helping founders scale post-investment.","SaaS; AI/ML","Seed; Series A"
"Abby Levy (Hustle Fund)","Abby Levy (Hustle Fund)",aad788e8-eb73-4b07-a04f-65e99ab01f5d,YES,NO,YES,"https://linkedin.com/in/abby-levy","General Partner at Hustle Fund","SaaS; AI/ML","Seed; Series A"
"Abdul Ly","Abdul Ly",e5ee60c3-38de-408f-86de-2485518db35f,YES,YES,YES,"https://linkedin.com/in/abdul-ly","Partner at Initialized","SaaS; Consumer; Developer Tools","Pre-Seed; Seed"
"Abdul Ly (Initialized)","Initialized Capital",bda2e9d1-e10a-4884-821e-c504ebdb0873,YES,YES,NO,"https://linkedin.com/in/abdul-ly","Abdul Ly is a partner at Initialized Capital. Backs technical founders at pre-seed and seed","SaaS; Consumer; Developer Tools; AI/ML","Pre-Seed; Seed"
"Abhinav Chaturvedi","Abhinav Chaturvedi",eda829c1-fc15-4781-93c1-0e5207cf9351,YES,YES,YES,"https://linkedin.com/in/abhinav-chaturvedi","Accel Partner based in Bangalore","SaaS; AI/ML","Seed; Series A"
