id,name,desc_length,sector_count,team_score,traction_score,market_score,product_score,vision_score,total_god_score,sectors,status,has_extracted_data
bfa9e992-fb2c-40a8-ad6f-51a13d770037,"VertexMind",237,3,55,20,70,30,30,41,"hr tech|enterprise|saas",approved,1
0e1f1b3a-9220-4429-ab3a-51c8ecbb857e,"Coinbax",48,1,14,18,14,14,11,71,"fintech",approved,0
1d1b8e80-a50a-4c97-a4b9-2abb5b576e12,"FanDuel",133,2,30,20,40,30,30,40,"gaming|media",approved,0
67187754-69e5-4b6d-a798-7a734eeb381a,"HN Wrapped",165,3,30,20,70,30,30,40,"ai/ml|climate tech|gaming",approved,0
5575f0e4-0ab8-4327-bf17-9ab79879f504,"Pinnacle Healthcare Advisors",56,2,30,20,70,30,30,40,"healthcare|gaming",approved,0
825e10a1-f82c-4efd-a009-dd6270b3805f,"Copy",0,1,30,20,30,30,30,40,"artificial intelligence / content creation",approved,0
478abc0d-8306-4d2e-9eb7-f232f1b79449,"Kargo",55,2,15,19,15,15,11,74,"logistics|gaming",approved,0
ed0c639e-5d01-40f4-bb8b-01abc3c933bd,"PrunaAI / HiDream-L1-Fast",224,3,30,20,70,30,55,40,"ai/ml|ai|machine learning",approved,0
dd88041a-72ae-41c2-8a7e-2199488e0959,"Prolific Machines",213,3,30,20,70,30,30,40,"technology|deeptech|healthtech",approved,0
690dba75-430e-4ef8-900a-9d1eb97159f5,"Neuraworx Medical",215,3,30,20,40,30,30,40,"technology|medical devices|healthtech",approved,0
ffc1e0d6-4a74-4cff-bd51-cc6be8e53fec,"Character",0,1,30,20,30,30,30,40,"ai",approved,0
fa4c97ff-29ff-4563-b6b1-3ca977514c5d,"Tryshor",52,1,30,20,30,30,55,40,"technology",approved,1
c96f0eba-e63c-4b31-88da-22fed21f0a72,"FloWorks",70,1,30,20,30,30,30,40,"technology",approved,0
23a32db1-88c8-4f8d-9340-471db73fbede,"Boox",217,3,30,20,70,30,30,40,"climate tech|consumer electronics|e-readers",approved,0
fa83fb84-a704-4ce1-940c-cc1732193ad9,"Monocle 3.0",68,1,30,20,30,30,30,40,"technology",approved,0
e75373bc-5a89-4ea0-8a04-b3e06ba36709,"Chroma",67,3,30,20,70,30,30,40,"color technology|ai/machine learning|database",approved,0
26d3ff01-39f3-4179-88c5-b6b8b57b7b87,"Truemed",50,3,15,19,15,15,11,76,"healthcare|ecommerce|climate tech",approved,0
d9baa7e3-0fa5-4280-89b4-d51b4c442532,"EverZinc",42,1,30,20,60,30,30,40,"climate tech",approved,0
9fc28a9e-980b-40ef-8de5-88b26d3fc9d2,"Subsense",209,3,30,20,70,55,30,41,"saas|enterprise|analytics",approved,0
b3bbdbb8-de0f-4ed6-b464-06d27e1c7154,"Bird",334,3,30,20,70,30,55,40,"ai/ml|climate tech|enterprise ai & automation",approved,0
3305cb14-8182-48eb-9614-d9f900e5fcee,"i-doit and Patchmanager",306,3,30,20,70,30,30,40,"technology|it management|healthtech",approved,0
2d44fb43-957c-411a-ac8f-6df7209b2c51,"Agent Skill",242,3,30,20,70,30,30,40,"technology|developer tools|ai/ml tools",approved,0
4805479e-8c54-4055-9d45-d5c66289dbf7,"DataLabs",235,3,55,100,40,55,30,60,"crypto|web3|defi",approved,1
3220b707-3a09-474b-9278-4f8d76f10f51,"Speed1, Inc.",56,2,12,15,12,12,9,61,"fintech|developer tools",approved,0
996b2840-5013-4264-aa59-a194b5010550,"Nabhdrishti Aerospace",40,1,30,20,30,30,30,40,"technology",approved,0
e0c31545-f7f4-4a0b-9a36-3c350532205c,"Homelight",239,3,30,20,70,30,30,40,"proptech|enterprise software|consumer",approved,0
b13d842c-3b42-4dd5-b62f-a28a0159b04c,"Mesa",206,2,30,20,40,30,55,40,"proptech|gaming",approved,0
0cacb388-508c-4d09-a293-a0b457ece62d,"Bunq",87,2,30,20,70,30,30,40,"fintech|developer tools",approved,0
d63cc8bd-f307-4ebf-af3f-2d3bcee3b60e,"Mirador Therapeutics",363,3,30,20,70,30,30,40,"healthtech|climate tech|consumer",approved,0
e5155576-142c-4c68-95b7-6a25966d4ce9,"Paramount Skydance Corp.",90,2,30,20,40,30,30,40,"gaming|media",approved,0
72f92bd3-d8a0-4ce3-b75d-cee6c733eac1,"Vega",29,1,30,20,30,30,30,40,"technology",approved,0
54088315-e3b8-465c-8f52-cc6ec9a32f28,"SwiftLabs",240,3,55,100,70,80,30,71,"climate|cleantech|energy",approved,1
ea567290-833d-4e3c-9b1a-a3a66dc500eb,"Unitree Robotics",207,3,30,20,70,55,55,44,"robotics|hardware|ai",approved,0
5a5133ec-9720-4994-a51a-b0f6c022c560,"Monocle 3.0 for macOS",55,1,30,20,30,30,30,40,"technology",approved,0
d6a25659-48cb-4422-a6fe-a87d89c724f9,"Spinny",213,2,30,20,70,30,55,40,"ai/ml|gaming",approved,0
f1dbf4a7-3706-4306-9ead-f8c04380e893,"Retool",0,1,30,20,30,30,30,40,"software development",approved,0
76555777-cbef-49dc-81a7-57be83ecec88,"MITI",68,1,30,20,30,30,30,40,"technology",approved,0
be39afa0-b609-474d-8384-6c9cc0ca5a77,"DigitalCloud",243,3,55,90,70,55,30,63,"fintech|payments|b2b",approved,1
78021ca3-0526-4d3e-96b1-0c604dac2bee,"CIENA",206,1,30,20,30,30,30,40,"iot",approved,0
f87e27bf-9fc4-4917-8a68-9ac8be183e8b,"Athletic",211,1,30,20,30,30,30,40,"cleantech",approved,0
ca8e410f-cddc-41d9-b1af-4384e96419cb,"Sipral Padana",68,1,30,20,30,30,30,40,"technology",approved,0
0ad4ae38-86d6-4f37-b55b-5802a38bf763,"DataOps",225,3,55,90,40,55,30,57,"gaming|entertainment|consumer",approved,1
2a15e225-abbf-445c-b49a-4bb2b24a7a9a,"Chipper Cash",243,2,30,20,70,30,30,40,"ai/ml|hr tech",approved,0
ee9d8cb1-4429-448b-b85a-981f940fdc07,"MinecraftLM",339,3,30,20,70,30,30,40,"gaming|ai/machine learning|3d modeling",approved,0
4dfcfc1b-40fb-4c54-a907-ba2280f02eee,"Lumio",42,1,30,20,30,30,30,40,"cleantech",approved,1
b9e41a16-6a75-46b2-80e5-f7fa296a9ca3,"Cartesia",47,3,30,20,70,30,30,40,"ai/ml|gaming|logistics",approved,1
a68dd7a0-5210-44b6-bc7f-9d8f6d88d871,"Brace",223,3,30,20,70,30,30,40,"ai/ml|cleantech|proptech",approved,0
e0fdaab3-4fd6-4658-a4f7-35cde7a2217b,"Pantheon Platform",226,2,30,20,70,30,30,40,"saas|marketplace",approved,0
43a51ecb-48a2-44dc-a050-ddd50d2bd474,"Local Insurance Advisors",68,1,30,20,30,30,30,40,"gaming",approved,0
065bb662-fc13-4891-82ad-4d8f45a82c22,"AutoOps",243,3,55,90,70,80,30,68,"ai/ml|enterprise|b2b saas",approved,1
7e9791c7-badb-4df8-a4c5-ed0c5e0ff106,"Entrevias",218,3,8,8,8,8,8,64,"cleantech|gaming|developer tools",approved,0
e6283826-8c90-43bf-b6de-46781a75c4a1,"Stuut",45,1,30,20,30,55,30,40,"technology",approved,0
845f1366-4d4a-427d-b791-a16d00028cf3,"Soin Pharmaceuticals",77,1,30,20,30,30,30,40,"technology",approved,0
b30025bf-a88b-4cd2-ac6a-32c3e491bfb6,"GTAS Retail",224,2,30,20,70,30,55,40,"ai/ml|ecommerce",approved,0
4ef95908-9055-44cc-b0a9-8e59e0a7bc10,"Planetscale",0,1,30,20,30,30,30,40,"database management",approved,0
fd56311a-d59e-4342-a4a0-7776c28c9019,"Doximity",203,1,30,20,30,30,30,40,"gaming",approved,0
cb0e1272-b337-4b7f-8cdc-44a741513949,"Supabase",0,1,30,20,30,30,30,40,"developer tools",approved,0
59a53401-7173-4b1d-9df9-33b65b9ff7ef,"Rax",189,1,30,20,30,30,30,40,"gaming",approved,0
9e1b2290-6689-4396-9e7d-e63d20106052,"HubTech",234,3,55,90,70,80,30,68,"fintech|payments|b2b",approved,1
5bf6f981-8d1f-4dd1-8c79-87b6e6ec5400,"Stoke Space",219,2,30,20,40,30,30,40,"cleantech|spacetech",approved,0
97f1664e-fa17-406b-809a-62094f37f918,"Knock",216,2,30,20,40,30,30,40,"cleantech|proptech",approved,0
55581542-29a6-4b07-8aa3-c596b476c3fd,"Centaur Labs",41,1,30,20,30,30,30,40,"technology",approved,0
5f5e99b1-dc31-48a4-a908-2687de96e030,"Grammarly",213,1,30,20,30,30,30,40,"gaming",approved,0
52691ea0-84e9-4cd1-b548-07f48de9ee86,"IQ-EQ",55,1,30,20,30,30,30,40,"hr tech",approved,0
b2456744-5145-403a-93f9-8f899d840e2c,"UltraSpace",237,3,45,90,40,80,30,60,"edtech|learning|b2c",approved,1
cc0cb0e0-6ea3-49ec-8f1e-7cac7f43bb03,"LLMKit",144,3,30,20,70,30,30,40,"ai/ml|gaming|media",approved,0
bcd52a96-e431-43d1-9c29-8c880c880460,"Coa",199,1,30,20,30,30,30,40,"technology",approved,0
7de4e424-3ce2-48f5-a240-b85862d38ddf,"Rubrik",224,2,8,8,10,8,8,65,"ai/ml|saas",approved,0
7f8425d8-45d5-44da-b198-d83917bb4bb4,"Lettermen's Energy",39,2,30,20,70,30,30,40,"climate tech|gaming",approved,0
ced21b32-35f3-4b46-92a7-dc702e94b210,"Z Image Turbo",229,1,30,20,30,30,55,40,"technology",approved,0
b8fc2c8f-4b4c-4cfc-aba2-80e3a2dc082b,"Segment",67,1,30,20,30,30,30,40,"technology",approved,0
842c673a-738c-4d2a-b050-d3e679216c8a,"Sprinterhealth",53,3,30,20,40,30,30,40,"healthtech|cleantech|foodtech",approved,1
0824b2ac-df8f-4a61-bf8d-4e783dc9838a,"Addi",225,1,30,20,30,30,55,40,"fintech",approved,0
117b0cce-21d6-4027-bd00-12cb16a5e799,"Gusto",217,1,30,20,30,30,30,40,"hr tech",approved,0
e189bbe4-6e7e-4531-bf33-c244298fa356,"Jain Software Bhopal",233,3,30,20,70,30,30,40,"ai/ml|saas|gaming",approved,0
94fca53c-3e13-42ae-843a-ea2429e8ec9d,"GlossGenius",194,1,30,20,60,30,30,40,"ai/ml",approved,0
473df3dd-5320-4588-b04c-b133a1b8f913,"Enveda Therapeutics",237,2,30,20,70,30,55,40,"ai/ml|healthtech",approved,0
eb2919b6-156a-4abc-b574-5f02646024cb,"Oncue",221,3,30,20,70,30,30,40,"saas|cleantech|gaming",approved,0
ea11abcb-7116-446c-8749-36e18167f0ef,"Crystalys Therapeutics",213,3,30,20,70,55,55,44,"biotech|healthcare|therapeutics",approved,0
66d605e0-93de-4fab-bb71-fb03dace451e,"Qonto",219,2,30,20,70,30,30,40,"ai/ml|fintech",approved,0
dc001f83-dc63-495f-b4e1-8d498fb652e7,"NeuralHub",220,3,55,90,40,80,30,62,"edtech|learning|b2c",approved,1
63e6c9b0-e054-48cd-8985-47b285336d12,"LLM Gateway",144,3,30,20,70,30,30,40,"ai/ml|climate tech|developer tools",approved,0
5bee97fa-2a64-4339-909c-154e923e7fe9,"Atlys",51,1,8,8,10,8,8,73,"ai/ml",approved,1
f864dcbd-5f11-48bb-901f-092d3fe27fbb,"prunaai/p-image-edit",229,2,30,20,70,30,30,40,"ai/ml|cleantech",approved,0
6b2f9aca-05a8-4090-8302-870b57d50550,"Koi Security",205,1,30,20,30,30,30,40,"cybersecurity",approved,0
cad05d01-82a1-4457-a0c5-a368d53029ca,"Fora",218,1,30,20,30,30,55,40,"technology",approved,0
ac2a1ae0-f880-4061-aa7d-39de2242070b,"Thirty Madison",206,2,30,20,70,30,30,40,"ai/ml|gaming",approved,0
5af079f4-4da4-4db0-be66-69e3864afd66,"Peripheral Labs",88,3,30,20,70,30,30,40,"ai/ml|climate tech|developer tools",approved,0
5c49c129-e788-45ee-9f96-6a76f29eca90,"Familia",26,1,11,13,11,11,8,53,"Technology",approved,0
05d40446-add8-4277-881e-4be9170bef3b,"Nuance Labs",41,1,30,20,30,30,30,40,"proptech",approved,0
fadd77a0-42b2-4823-98e3-3573ce2cae0e,"BlossomHill Therapeutics",40,2,30,20,70,55,30,41,"healthcare|gaming",approved,0
f5a9fd9d-a936-4bce-9831-f52b5d056711,"Kapital",232,2,30,20,40,30,55,40,"fintech|developer tools",approved,0
cc015d91-3065-44c3-9060-c4f6769e702f,"Unacademy",223,3,30,20,40,30,30,40,"edtech|cleantech|gaming",approved,0
0311fb7c-255f-4844-b15e-0a39439c2dc9,"Mirror",82,1,30,20,30,55,30,40,"gaming",approved,0
81a72111-eab7-4cb1-89ee-914992ee15db,"Complyance",211,3,30,20,70,30,55,40,"ai/ml|cybersecurity|legaltech",approved,0
27229d1d-cc49-4794-8b77-f3ddddb47f84,"black-forest-labs",222,1,30,20,30,30,55,40,"technology",approved,0
cd25eab0-430f-458d-bba0-8e0517ae9dd0,"Kernel",36,1,30,20,30,30,30,40,"developer tools",approved,0
