Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Diana Bernstein, Ph.D. (North Pond Ventures)","Diana Bernstein, Ph.D. (North Pond Ventures)",ff7a05ab-6289-452d-8743-a205973216d9,YES,YES,YES,"https://linkedin.com/in/diana-bernstein","Director","SaaS; AI/ML","Seed; Series A"
"Diana Hu","Diana Hu",d2d218ae-5617-4d1a-89e5-1b7da3497dc5,YES,NO,YES,"https://linkedin.com/in/diana-hu","Diana Hu is a angel investor focused on SaaS, AI/ML, Consumer investing at Pre-Seed and Seed stage.","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"Diana Reyes","Diana Reyes",c005c906-a1d7-4ef7-a9a4-e2a5345c19c2,YES,YES,YES,"https://linkedin.com/in/diana-reyes","Operator at Khosla Ventures","SaaS; AI/ML","Seed; Series A"
"Diana Reyes (Khosla Ventures)","Khosla Ventures",24b86d91-2ad9-47cc-b03e-6bbf0c2748cd,YES,YES,NO,"https://linkedin.com/in/diana-reyes","Diana Reyes is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Differential Ventures","Differential Ventures",b824a6b1-4e41-495f-a892-34defcbe293b,YES,YES,NO,"https://linkedin.com/in/differential-ventures","","AI; SaaS; HealthTech","Seed; Series A"
"digital asset fund","digital asset fund",67960f2e-c988-444d-bf95-72418bd3a0e8,YES,NO,NO,"https://linkedin.com/in/digital-asset-fund","Digital Asset Fund is a vc firm focused on Blockchain, DeFi, NFTs investing at Seed and Series A stage.","Blockchain; DeFi; NFTs","Seed; Series A"
"digital asset fund","digital asset fund",bb8ed460-7b03-49d9-918f-11f04ccff1d1,YES,YES,NO,"https://linkedin.com/in/digital-asset-fund","","Blockchain; DeFi; NFTs","Seed; Series A"
"Digital Horizon","Digital Horizon",fb358d8c-3d6c-4c15-b9d7-4370077f33b5,YES,NO,YES,"https://linkedin.com/in/digital-horizon","Digital Horizon is a angel investor focused on Artificial Intelligence, Blockchain, FinTech investing at Seed stage.","Artificial Intelligence; Blockchain; FinTech; Marketplace","Seed"
"Dilek Dayinlarli","ScaleX Ventures",46d79726-391f-47ad-8dc1-96dcb5adb8f8,YES,NO,NO,"https://linkedin.com/in/dilek-dayinlarli","Dilek Dayinlarli is an investor at ScaleX Ventures focused on AI, SaaS, HealthTech investing at Seed and Series A stage.","AI; SaaS; HealthTech","Seed; Series A"
"Dillon Ferdinandi","Slack Fund",7d8bba99-ccb6-49dc-aa9c-a48f25cf0606,YES,YES,NO,"https://linkedin.com/in/dillon-ferdinandi","","AI; SaaS; Fintech","Seed; Series A"
"Director Maddie Maloney (Northpondventures)","Director Maddie Maloney (Northpondventures)",faf9d4aa-6b97-421d-bb3d-efb6b40c09f0,YES,YES,YES,"https://linkedin.com/in/director-maddie-maloney","","SaaS; AI/ML","Seed; Series A"
"DirectorNick RubinInvestorAnnie DukeSpecial (Firstround)","DirectorNick RubinInvestorAnnie DukeSpecial (Firstround)",91830389-c36c-4411-b843-0ab04bea6e89,YES,YES,YES,"","Team member at Firstround. Discovered from: https://firstround.com/team/","AI; SaaS; Consumer","Seed; Series A"
"Directory Account Management","Directory Account Management",6f45cc80-19ad-435f-b875-34fea9f1bdf8,YES,YES,NO,"https://linkedin.com/in/directory-account-management","","AI; SaaS; Fintech","Seed; Series A"
"Directory Account Management","Directory Account Management",820cd2d4-696e-41bb-aefe-22517d8962e0,YES,YES,NO,"https://linkedin.com/in/directory-account-management","","AI; SaaS; Cloud Computing","Seed; Series A"
"diverse as the (Lsvp)","diverse as the (Lsvp)",3a07198e-88a4-4d43-9602-847675eeac12,YES,YES,YES,"","Team member at Lsvp. Discovered from: https://lsvp.com/team/","SaaS; AI/ML",""
"Divya Dhulipala","Divya Dhulipala",b2407fe1-03da-47f3-b3f7-67ac65897759,YES,YES,YES,"","Principal at Haystack, responsible for capital formation and The Alignment Summit","SaaS; AI/ML",""
"Divya Dhulipala (Haystack)","Divya Dhulipala (Haystack)",4afc3d37-a18e-46ed-90f9-d2ed065c0ee4,YES,NO,YES,"https://linkedin.com/in/divya-dhulipala","Principal at Haystack. Invests across stages and in charge of capital formation and The Alignment Summit.","SaaS; AI/ML","Seed; Series A"
"Dmitry Firskin","AltaIR Capital",98127a0c-e254-40f9-8522-cd4a1aa39912,YES,YES,NO,"https://linkedin.com/in/dmitry-firskin","","AI; SaaS; Cloud Computing","Seed; Series A"
"Dollar Business Management","Dollar Business Management",a76a46d7-7852-4d25-abba-4369f22ac059,YES,YES,NO,"https://linkedin.com/in/dollar-business-management","","AI; SaaS; HealthTech","Seed; Series A"
"Donna Harris","Builders + Backers",abf5015a-eddc-4368-846e-b0b606aae8f4,YES,NO,NO,"https://linkedin.com/in/donna-harris","Donna Harris is an investor at Builders + Backers focused on AI, SaaS, HealthTech investing at Seed and Series A stage.","AI; SaaS; HealthTech","Seed; Series A"
"doubles down on (Pehub)","doubles down on (Pehub)",461736c4-4a62-4ed4-bc3a-58ee51625bd6,YES,YES,YES,"","","Technology","Seed; Series A"
"Doug Leone","Doug Leone",d0a7b652-5123-42f6-b623-a45cc8aa8882,YES,NO,YES,"https://linkedin.com/in/doug-leone","Sequoia Capital Partner focused on Seed/Early and Growth stage investments","SaaS; AI/ML","Seed; Series A"
"Dr. Andy May","Dr. Andy May",0ede4590-589a-417b-9e91-39fac95b807b,YES,YES,YES,"https://linkedin.com/in/dr-andy-may","Operating Partner, DCVC Bio","SaaS; AI/ML","Seed; Series A"
"Dr. Andy May (DCVC)","DCVC",75daf34c-4a5e-417a-93f0-5aa105d4361f,YES,YES,NO,"https://linkedin.com/in/dr-andy-may","Dr. Andy May is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Brenton Fargnoli","Dr. Brenton Fargnoli",96e7d948-81cc-428e-92ac-dd8789506957,YES,YES,YES,"https://linkedin.com/in/dr-brenton-fargnoli","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Dr. Emily Park (DCVC)","DCVC",f1759199-6b3b-4099-bd95-7157cd5a6b84,NO,YES,NO,"https://linkedin.com/in/dr-emily-park","Dr. Emily Park is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Dr. Galym Imanbayev","Dr. Galym Imanbayev",4c17705c-469c-48f0-a821-7ecf807c0fdc,YES,YES,YES,"https://linkedin.com/in/dr-galym-imanbayev","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Dr. Galym Imanbayev (Lightspeed)","Lightspeed Venture Partners",e3d949b5-039f-4d1d-8996-e1ca5d3b09d8,YES,YES,NO,"https://linkedin.com/in/dr-galym-imanbayev","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Dr. John Hamer","Dr. John Hamer",c7566f06-39da-4dcc-b17f-2b5796b2374d,YES,YES,YES,"https://linkedin.com/in/dr-john-hamer","Managing Partner, DCVC Bio","SaaS; AI/ML","Seed; Series A"
"Dr. John Hamer (DCVC)","DCVC",ed64fd4b-2aab-4036-9d07-2074c15d2562,YES,YES,NO,"https://linkedin.com/in/dr-john-hamer","Dr. John Hamer is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Dr. Justin Kern","Dr. Justin Kern",e2dd4093-85cd-423a-a791-2d516333382f,YES,YES,YES,"https://linkedin.com/in/dr-justin-kern","Partner, DCVC Bio","SaaS; AI/ML","Seed; Series A"
"Dr. Justin Kern (DCVC)","DCVC",6b215b93-e3e6-42d0-beec-1adb2fb13982,NO,YES,NO,"https://linkedin.com/in/dr-justin-kern","Dr. Justin Kern is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Kiersten Stead","Dr. Kiersten Stead",9d9fb916-84f1-4547-ac11-3690f7633570,YES,YES,YES,"https://linkedin.com/in/dr-kiersten-stead","Managing Partner, DCVC Bio","SaaS; AI/ML","Seed; Series A"
"Dr. Kiersten Stead (DCVC)","DCVC",b420073e-c56a-48d1-835e-3954a5e481f1,YES,YES,NO,"https://linkedin.com/in/dr-kiersten-stead","Dr. Kiersten Stead is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Dr. Linda Maxwell","Dr. Linda Maxwell",70ef3e1c-65b3-4caf-8ae6-3f589322a5eb,YES,YES,YES,"https://linkedin.com/in/dr-linda-maxwell","Operating Partner at Dcvc","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Linda Maxwell (DCVC)","DCVC",d015a4ad-d4a2-49ff-8de8-05b168e5cd9e,NO,YES,NO,"https://linkedin.com/in/dr-linda-maxwell","Dr. Linda Maxwell is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Dr. Prineha Narang","Dr. Prineha Narang",82535318-7e41-4c9e-bca7-8e321d0cfe66,YES,YES,YES,"https://linkedin.com/in/dr-prineha-narang","Operating Partner at Dcvc","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Prineha Narang (DCVC)","DCVC",54a4c2a2-e3ec-4c6e-b6d0-a5a9827ee4e9,YES,YES,NO,"https://linkedin.com/in/dr-prineha-narang","Dr. Prineha Narang is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Rachel Slaybaugh","Dr. Rachel Slaybaugh",c22dc490-8bdf-4af7-9bba-2b26223225fd,YES,YES,YES,"https://linkedin.com/in/dr-rachel-slaybaugh","Partner at Dcvc","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Rachel Slaybaugh (DCVC)","DCVC",ded7a88a-e80e-4b3d-a4ab-3fa66ad0d317,YES,YES,NO,"https://linkedin.com/in/dr-rachel-slaybaugh","Dr. Rachel Slaybaugh is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Scott C. Hsu","Dr. Scott C. Hsu",d362b07c-3f32-47b0-bbde-26eb1be86011,YES,YES,YES,"https://linkedin.com/in/dr-scott-c-hsu","Fusion Partner at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
"Dr. Scott C. Hsu (Lowercarbon Capital)","Lowercarbon Capital",4211e911-8df3-43db-bbe6-7a126e618566,YES,YES,NO,"https://linkedin.com/in/dr-scott-c-hsu","Fusion Partner at Lowercarbon Capital","SaaS; AI/ML","Seed; Series A"
"Dr. Vandon Duong","Dr. Vandon Duong",ef08e720-65b5-4ed0-90c5-4a56a3e6ed2b,YES,NO,YES,"https://linkedin.com/in/dr-vandon-duong","Dr. Vandon Duong is a angel investor focused on AI/ML, SaaS, Fintech investing at Seed stage.","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Dr. Vandon Duong (DCVC)","DCVC",f8dbe7a9-c468-42a5-a71b-6d3152025c57,YES,YES,NO,"https://linkedin.com/in/dr-vandon-duong","Dr. Vandon Duong is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Dragoneer Investment Group","Dragoneer Investment Group",dba7d7e3-7fb5-405d-b217-19e005343ecf,YES,YES,YES,"https://linkedin.com/in/dragoneer-investment-group","Focuses on growth-stage investments in software and fintech.","technology","seed; series_a"
"DST Global","DST Global",da5e9ba6-e405-41d1-81dc-355c512a033b,YES,NO,YES,"https://linkedin.com/in/dst-global","Leading Internet investment firm globally.","technology","seed; series_a"
"Duncan Carlson","Duncan Carlson",8ca0cd1a-b540-4f3d-a33e-b5a80d05cf28,YES,NO,YES,"https://linkedin.com/in/duncan-carlson","Principal at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
"Duncan Carlson (Lowercarbon Capital)","Lowercarbon Capital",2679401e-fc82-4292-9c41-ce75c4c18121,YES,YES,NO,"https://linkedin.com/in/duncan-carlson","Principal at Lowercarbon Capital","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
"Duncan Carlson (Lowercarboncapital)","Lowercarbon Capital",a933b83a-8679-4609-a500-26843b2509e7,YES,YES,NO,"https://linkedin.com/in/duncan-carlson","Duncan Carlson is a partner at Lowercarbon Capital. Climate tech focused on decarbonization","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
