Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Beth Teplitsky","Beth Teplitsky",20a80296-22a6-4696-90a2-6e6cdfa69205,YES,YES,YES,"","Partner","SaaS; AI/ML","Seed; Series A"
"Better Tomorrow Ventures","Better Tomorrow Ventures",063596ac-f00f-4efa-9931-c8424bba9f27,YES,YES,YES,"https://linkedin.com/in/better-tomorrow-ventures","Venture capital firm investing in FinTech and financial services","SaaS; AI/ML","Seed; Series A"
"Better Ventures","Better Ventures",4c62bd20-0a59-4a6b-b611-8321117687c2,YES,NO,YES,"https://linkedin.com/in/better-ventures","Better Ventures is a vc firm focused on Minority Founders, Female Founders, Social Impact investing at Pre-Seed and Seed stage.","Minority Founders; Female Founders; Social Impact; Health","Pre-Seed; Seed"
"Bezos PlaybookThe management","Bezos PlaybookThe management",cf387bf6-8e80-458d-862e-622487a67dec,YES,NO,YES,"","Discovered from: https://www.generalist.com/","Technology","Seed; Series A"
"BIG Capital","BIG Capital",e54a879a-7641-43e4-9712-5499957f9ba7,YES,NO,YES,"","BIG Capital is a venture capital firm focused on SaaS investing at Seed and Series A stage.","SaaS","Seed; Series A"
"Big Idea Ventures","Big Idea Ventures",6e8f0657-66a8-4e67-95db-0519afd0a32b,YES,YES,YES,"https://linkedin.com/in/big-idea-ventures","","Food/Beverage","Pre-Seed"
"Bijan Sabet","Bijan Sabet",4ceadfee-696d-4b08-8dd0-e4ac8d75a502,YES,YES,YES,"https://linkedin.com/in/bijan-sabet","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Bijan Sabet (Spark Capital)","Bijan Sabet (Spark Capital)",126a8361-1eb2-46c6-912c-677b044e970c,YES,YES,YES,"https://linkedin.com/in/bijan-sabet","Emeritus partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Bill Coughran","Bill Coughran",e6a74038-eaee-4ff3-8c09-96d6f5efb5bd,YES,YES,YES,"https://linkedin.com/in/bill-coughran","Sequoia Capital Partner focused on Seed/Early stage investments","SaaS; AI/ML","Seed; Series A"
"Bill Coughran (Sequoiacap)","Sequoia Capital",122bf1ca-8458-4cfb-8720-7199d3f0feff,YES,YES,NO,"https://linkedin.com/in/bill-coughran","Seed/Early stage investor at Sequoia Capital","AI/ML; SaaS; Consumer; Fintech; Enterprise","Seed; Series A; Series B; Growth"
"Bill Elfers","Bill Elfers",3bf061b7-f253-4526-9442-1383b90b2215,YES,YES,YES,"https://linkedin.com/in/bill-elfers","Founding Partner at Greylock","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Bill Elfers (Greylock)","Greylock Partners",35b75c55-81ce-4772-8506-0df71c47e08a,YES,YES,NO,"https://linkedin.com/in/bill-elfers","Bill Elfers is a partner at Greylock Partners. Focus on consumer, enterprise, and crypto at Series A+","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Bill Gurley","Benchmark",534b9cf5-a9f7-41ed-b3c0-09614d108218,YES,YES,NO,"https://linkedin.com/in/bgurley","Led investments in Uber, OpenTable, Zillow, GrubHub, Nextdoor, Stitch Fix.","marketplace; consumer; saas; infrastructure; Enterprise","series_a; series_b"
"Bill Hinman (A16zcrypto)","Andreessen Horowitz",2bf738b5-94d1-44ab-b2f0-99c725d737db,YES,YES,NO,"https://linkedin.com/in/bill-hinman","Bill Hinman is a partner at Andreessen Horowitz. Invests in software eating the world - consumer, enterprise, crypto, bio across all stages","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics","Seed; Series A; Series B; Growth"
"Bill Kaiser","Bill Kaiser",faa11a64-40dc-4f59-84f1-60b2153a492e,YES,YES,YES,"https://linkedin.com/in/bill-kaiser","Emeritus Partner at Greylock","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Bill Kaiser (Greylock)","Greylock Partners",69a34cc5-d870-4a42-9253-cd3b45cd5782,YES,YES,NO,"https://linkedin.com/in/bill-kaiser","Bill Kaiser is a partner at Greylock Partners. Focus on consumer, enterprise, and crypto at Series A+","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Bill Maris","Bill Maris",2db1b97d-cf8d-456f-a2fe-c01279a5bf60,YES,YES,YES,"https://linkedin.com/in/bill-maris","Founder of Section 32","SaaS; AI/ML","Seed; Series A"
"Bill Payne","Bill Payne",b0dcb68e-01a5-4f6b-be8c-1c778d0fcf2c,YES,YES,YES,"https://linkedin.com/in/bill-payne","Part of ACA Angel University","SaaS; AI/ML","Seed; Series A"
"Bill Trenchard","Bill Trenchard",2c836f2b-469a-4611-91b4-dfd1f41d119f,YES,NO,YES,"https://linkedin.com/in/bill-trenchard","Bill Trenchard is a angel investor focused on AI, SaaS, Consumer investing at Seed and Series A stage.","AI; SaaS; Consumer","Seed; Series A"
"Bill Trenchard (First Round)","First Round Capital",ddd7d135-c021-44d5-9235-500472232547,YES,YES,NO,"https://linkedin.com/in/bill-trenchard","Bill Trenchard is a partner at First Round Capital. Seed-stage investor helping entrepreneurs build remarkable companies","SaaS; Consumer; Enterprise","Pre-Seed; Seed"
"Bio Carol Suh (Archventure)","Bio Carol Suh (Archventure)",1f95e028-69c8-46d4-b4c9-603fbd5aa0ea,YES,YES,YES,"https://linkedin.com/in/bio-carol-suh","","SaaS; AI/ML","Seed; Series A"
"Bio Clinton Bybee (Archventure)","Bio Clinton Bybee (Archventure)",72884a31-7b73-4eef-82df-199eb55b5cf0,YES,YES,YES,"https://linkedin.com/in/bio-clinton-bybee","","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Bio Corey Ritter (Archventure)","Bio Corey Ritter (Archventure)",c3b2e595-23bd-45c8-b3ce-b12e997a76b5,YES,NO,YES,"https://linkedin.com/in/bio-corey-ritter","Bio Corey Ritter is an investor at Archventure focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Bio Jake Bauer (Archventure)","Bio Jake Bauer (Archventure)",b34c3c8a-05f7-4701-b072-c055f3093f1d,YES,YES,YES,"https://linkedin.com/in/bio-jake-bauer","","SaaS; AI/ML","Seed; Series A"
"Bio Keith Crandell (Archventure)","Bio Keith Crandell (Archventure)",e213bd4b-db6c-49d3-b17f-2bf42d3e1c1a,YES,YES,YES,"https://linkedin.com/in/bio-keith-crandell","","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Bio Keith Lenden (Archventure)","Bio Keith Lenden (Archventure)",590183fa-519f-4706-b910-a02a5eef2e48,YES,YES,YES,"https://linkedin.com/in/bio-keith-lenden","","SaaS; AI/ML","Seed; Series A"
"Bio Kristen Rocca (Dcvc)","DCVC",6c97775a-c53f-4480-9ece-2d7f396c1d3b,YES,YES,NO,"https://linkedin.com/in/bio-kristen-rocca","Bio Kristen Rocca is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Bio Patrick Weiss (Archventure)","Bio Patrick Weiss (Archventure)",fac0e9e7-6876-4775-a9da-a3a68c4517d5,YES,YES,YES,"https://linkedin.com/in/bio-patrick-weiss","","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Bio Robert Nelsen (Archventure)","Bio Robert Nelsen (Archventure)",04266bf0-2dfb-4ae7-b3ee-7dbef1dda376,YES,YES,YES,"https://linkedin.com/in/bio-robert-nelsen","","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Bio Sean Kendall (Archventure)","Bio Sean Kendall (Archventure)",67860b43-a8dd-41d3-a0ee-84fbeef89179,YES,YES,YES,"https://linkedin.com/in/bio-sean-kendall","","SaaS; AI/ML","Seed; Series A"
"Bio Spencer Punter (Dcvc)","DCVC",6d6ef414-3a3b-401e-823d-b4b1121ee561,YES,YES,NO,"https://linkedin.com/in/bio-spencer-punter","Bio Spencer Punter is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Bio Steve Lazarus (Archventure)","Bio Steve Lazarus (Archventure)",07a8ce51-bbe9-4890-9cd1-5bccd0e656f6,YES,YES,YES,"https://linkedin.com/in/bio-steve-lazarus","","SaaS; AI/ML; HealthTech; Biotech","Seed; Series A"
"Black Jays Investments","Black Jays Investments",c05508b7-8cc6-4363-bb2f-0e2b01ec5652,YES,YES,NO,"https://linkedin.com/in/black-jays-investments","","AI; SaaS; HealthTech","Seed; Series A"
"Blackstone","Blackstone",743e8993-427a-4b0c-a370-2fe2414b17fb,YES,YES,YES,"https://linkedin.com/in/blackstone","PE firm mentioned in holiday content","SaaS; AI/ML","Seed; Series A"
"Blackstone Capital Partners","Blackstone Capital Partners",0cdcecc0-b30b-45d9-ae4b-bd946b1739f5,YES,NO,YES,"","Blackstone Capital Partners is a venture capital firm focused on SaaS investing at Seed and Series A stage.","SaaS","Seed; Series A"
"Blake Bartlett","Blake Bartlett",0011d354-b80c-4d1f-9fa5-2ba68827f225,YES,YES,YES,"https://linkedin.com/in/blake-bartlett","Partner at Insight Partners","SaaS; Enterprise","Series B; Growth"
"Blake Wu","Blake Wu",d4fbc116-31e9-428c-a202-8e93d6e19b12,YES,NO,YES,"https://linkedin.com/in/blake-wu","Blake Wu is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Blake Wu (Nea)","New Enterprise Associates",8c277636-7e30-4a4a-a767-29b6e878641e,YES,YES,NO,"https://linkedin.com/in/blake-wu","Blake Wu is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"blockchain group","blockchain group",87b156f9-1a99-46ea-97e8-9bf3ad6111c8,YES,YES,YES,"","","SaaS; AI/ML",""
"Blossom Capital","Blossom Capital",71e74029-b470-476f-8c36-c15f5d8d4f0e,YES,YES,NO,"https://linkedin.com/in/blossom-capital","","AI/ML; SaaS; Fintech; Consumer Internet","Series A"
"Blue 9 Capital","Blue 9 Capital",8bfc9a3b-23c8-495d-a9b3-269e4216d280,YES,YES,NO,"https://linkedin.com/in/blue-9-capital","","AI; SaaS; HealthTech","Seed; Series A"
"Blue Bear Capital","Blue Bear Capital",0480cbf2-4b02-4afd-8e19-8e5e5dd41c9f,YES,NO,YES,"https://linkedin.com/in/blue-bear-capital","Blue Bear Capital is a vc firm focused on Digital tech in energy, infrastructure and climate investing at Seed and Series A stage.","Digital tech in energy; infrastructure and climate","Seed; Series A"
"Blue Point Capital Partners","Blue Point Capital Partners",8d80ed75-800b-4b57-ac1d-a9dfb866eb0f,YES,NO,YES,"https://linkedin.com/in/blue-point-capital-partners","PE firm backing NSA rainwear manufacturer acquisition","SaaS; AI/ML","Seed; Series A"
"BlueRun Ventures","BlueRun Ventures",d9927d01-7793-4e2f-ba49-2a956aa88627,YES,YES,NO,"https://linkedin.com/in/bluerun-ventures","We help entrepreneurs build magical companies.","Fintech; Mobile; Enterprise Software","Seed; Series A"
"BlueWing Ventures","BlueWing Ventures",4acca6b7-4789-4748-8876-6c339038a18c,YES,YES,YES,"","Discovered from: FinSMEs","AI/ML","Seed; Series A"
"BlueYard Capital","BlueYard Capital",aa64a73b-b86a-4018-bed9-280aaf205f6e,YES,YES,YES,"","Discovered from: FinSMEs","SaaS","Seed; Series A"
