Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"CRV","CRV",0dabaf6d-2f42-4571-8b6a-dbae6d54bdfb,YES,YES,YES,"https://linkedin.com/in/crv","Venture capital firm investing in marketplaces and other sectors","SaaS; AI/ML","Seed; Series A"
"crypto fund","crypto fund",eb3f2849-25ed-4365-9add-2273c7123c97,YES,YES,NO,"https://linkedin.com/in/crypto-fund","","Blockchain; DeFi; NFTs","Seed; Series A"
"crypto partners","crypto partners",b3f54b01-4561-4bb3-b923-75beae25b0e6,YES,YES,NO,"https://linkedin.com/in/crypto-partners","","Blockchain; Fintech; Web3","Seed; Series A"
"Crystal Sacca","Crystal Sacca",af4a749f-5b37-460f-b05a-6fe8606969a2,YES,YES,YES,"https://linkedin.com/in/crystal-sacca","Founding Partner at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
"Crystal Sacca (Lowercarbon Capital)","Lowercarbon Capital",37a4d251-77ed-487f-b24c-2e34d663e351,YES,YES,NO,"https://linkedin.com/in/crystal-sacca","Founding Partner at Lowercarbon Capital","SaaS; AI/ML","Seed; Series A"
"Crystal Sacca Founding (Lowercarboncapital)","Lowercarbon Capital",0ec5632d-ca29-4feb-a9ae-27680d201f6d,YES,YES,NO,"https://linkedin.com/in/crystal-sacca-founding","Crystal Sacca Founding is a partner at Lowercarbon Capital. Climate tech focused on decarbonization","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
"CTOFrankieGeneral PartnerAlpin Yukseloglu","CTOFrankieGeneral PartnerAlpin Yukseloglu",9aaba2c6-edf7-4534-b4d2-b1dd0a52160e,YES,YES,YES,"https://linkedin.com/in/ctofrankiegeneral-partneralpin-yukseloglu","","SaaS; AI/ML","Seed; Series A"
"curate content for (Haystack)","curate content for (Haystack)",e473b495-87f3-42c0-93c3-13f2466bdc37,YES,NO,YES,"https://linkedin.com/in/curate-content-for","curate content for is an investor at Haystack focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"current investors Foothill Ventures","current investors Foothill Ventures",5b42eae7-5cdc-4ba9-8076-8c6e2d2233e0,YES,YES,YES,"","Discovered from: FinSMEs","SaaS","Seed; Series A"
"Customer spotlightFormer (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)","Customer spotlightFormer (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)",2c86a11b-c758-4f7a-a08c-337c9274514a,YES,YES,YES,"https://linkedin.com/in/customer-spotlightformer","","SaaS; AI/ML","Seed; Series A"
"CVC Capital Partners","CVC Capital Partners",46e2c7d2-7a11-4944-9310-a7f05c6bbb07,YES,YES,YES,"https://linkedin.com/in/cvc-capital-partners","Private equity firm with new president Rutland","SaaS; AI/ML","Seed; Series A"
"Cyndi Reseburg","Cyndi Reseburg",86bc12f1-2389-4696-bb39-5c979248e3e7,YES,YES,YES,"https://linkedin.com/in/cyndi-reseburg","Head of Communications at Initialized","SaaS; AI/ML","Seed; Series A"
"Cyndi Reseburg (Initialized)","Initialized Capital",e96682df-a207-4cf8-9cb4-11007e2ec126,YES,YES,NO,"https://linkedin.com/in/cyndi-reseburg","Head of Communications at Initialized","SaaS; Consumer; Developer Tools; AI/ML","Pre-Seed; Seed"
"Damon Guidry","Damon Guidry",b1c4f985-75d6-4c76-abf0-9498e60e2066,YES,YES,YES,"https://linkedin.com/in/damon-guidry","Partner at Nyca Partners","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
"Dan Bartus","Dan Bartus",7124cc64-b1db-4bcb-af0a-804feeb4ca69,YES,YES,YES,"https://linkedin.com/in/dan-bartus","Partner, Head of Research at Felicis","SaaS; AI/ML","Seed; Series A"
"Dan Bartus (Felicis)","Dan Bartus (Felicis)",4c1bb629-1640-492f-b487-0667c1340bc4,YES,YES,YES,"https://linkedin.com/in/dan-bartus","","SaaS; Consumer; Fintech","Seed; Series A"
"Dan Boneh (A16zcrypto)","Andreessen Horowitz",ea67baeb-12ba-47f2-b462-7574159d08d8,YES,YES,NO,"https://linkedin.com/in/dan-boneh","Senior Research Advisor at A16zcrypto","AI/ML; Crypto; SaaS; Consumer; Defense; Robotics","Seed; Series A; Series B; Growth"
"Dan Bragiel","Bragiel Brothers",517498f0-a91e-422c-b52b-db1d50273182,YES,YES,NO,"https://linkedin.com/in/dan-bragiel","","AI; SaaS; Fintech","Seed; Series A"
"Dan Gregory","Dan Gregory",095693d7-6e7b-4d67-9b24-f945d4a4b625,YES,YES,YES,"https://linkedin.com/in/dan-gregory","Founding Partner at Greylock, co-founded firm in 1965, served as managing partner","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dan Gregory (Greylock)","Greylock Partners",b38a5bdb-1465-4992-a15b-5a631c237d94,NO,YES,NO,"https://linkedin.com/in/dan-gregory","Founding Partner - Co-founder of Greylock and pioneer in venture capital","Enterprise; SaaS; Consumer","Seed; Series A; Series B"
"Dan Gregory Founding (Greylock)","Greylock Partners",ea6fa37f-6d49-4404-bf59-45e58297d455,YES,YES,NO,"https://linkedin.com/in/dan-gregory-founding","Dan Gregory Founding is a partner at Greylock Partners. Focus on consumer, enterprise, and crypto at Series A+","Enterprise; SaaS; Consumer; AI/ML","Seed; Series A; Series B"
"Dan Morehead","Dan Morehead",21694281-c86c-444f-ac2d-03f0e77de821,YES,YES,YES,"https://linkedin.com/in/dan-morehead","Founder, Managing Partner at Pantera Capital Management","SaaS; AI/ML","Seed; Series A"
"Dan Morehead (Pantera Capital)","Dan Morehead (Pantera Capital)",5ed4c6e3-dc3e-49bd-b299-bb4c439b3480,YES,YES,YES,"https://linkedin.com/in/dan-morehead","Founder, Managing Partner at Pantera Capital. Founded firm in 2003, manages over $1B in blockchain assets.","SaaS; AI/ML","Seed; Series A"
"Dan Moskowitz","Third Point Ventures",f9799104-fa12-4ccb-8e49-28222161dc2a,YES,NO,NO,"https://linkedin.com/in/dan-moskowitz","Dan Moskowitz is an investor at Third Point Ventures focused on AI, SaaS, Fintech investing at Seed and Series A stage.","AI; SaaS; Fintech","Seed; Series A"
"Dan Robinson","Dan Robinson",bf31faba-f85e-413b-8c2f-a31912763f75,YES,YES,YES,"https://linkedin.com/in/dan-robinson","General Partner at Paradigm","technology","seed; series_a"
"Dan Robinson (Paradigm)","Paradigm",8a42f2fa-575d-468e-ad5f-c137f6d6ff51,YES,YES,NO,"https://linkedin.com/in/dan-robinson","Dan Robinson is a partner at Paradigm. Crypto-native investor in DeFi and web3","technology","seed; series_a"
"Dan Rochkind","Dan Rochkind",122d6cdc-2281-472e-a06e-5cba314c7b8f,YES,YES,YES,"https://linkedin.com/in/dan-rochkind","CFO at Lererhippeau since 2019","SaaS; AI/ML","Seed; Series A"
"Dan Rochkind (Lerer Hippeau)","Dan Rochkind (Lerer Hippeau)",823b2eed-2bd1-4388-807f-dca039e68831,YES,YES,YES,"https://linkedin.com/in/dan-rochkind","CFO at Lerer Hippeau since 2019","Generalist","Seed"
"Dan Westgarth","Expansion Capital",842c4689-24bb-41ed-9b1a-760db90cdec5,YES,YES,NO,"https://linkedin.com/in/dan-westgarth","","AI; SaaS; Fintech","Seed; Series A"
"Dana Stalder","Dana Stalder",fcb05968-0d06-4df8-840c-f5f18f4465c0,YES,NO,YES,"https://linkedin.com/in/dana-stalder","Specializes in FinTech and B2B investments","SaaS; AI/ML","Seed; Series A"
"Dana Stalder (Matrix Partners)","Dana Stalder (Matrix Partners)",e8336c1b-9faf-4866-b760-0e878286e9b5,YES,YES,YES,"https://linkedin.com/in/dana-stalder","Partner at Matrix Partners focusing on FinTech and B2B investments","SaaS; AI/ML","Seed; Series A"
"Daniel Gross","Pioneer.app",4133db8d-bfc0-48bb-b4c9-32e4b5de4e69,YES,YES,NO,"https://linkedin.com/in/daniel-gross","","AI; SaaS; Fintech","Seed; Series A"
"Daniel Gulati","Treble Capital",71fbaac6-9bf5-4898-8e4c-559ca600291a,YES,YES,NO,"https://linkedin.com/in/daniel-gulati","","AI; SaaS; Fintech","Seed; Series A"
"Daniel Sherman","Daniel Sherman",f47fa229-b876-4752-bb83-57ca65bc4702,YES,YES,YES,"https://linkedin.com/in/daniel-sherman","Head of Portfolio PR at Initialized","SaaS; AI/ML","Seed; Series A"
"Daniel Sherman (Initialized)","Initialized Capital",3c4c1a1e-c4c7-4932-86b3-b391fd211b89,YES,YES,NO,"https://linkedin.com/in/daniel-sherman","Head of Portfolio PR at Initialized","SaaS; Consumer; Developer Tools; AI/ML","Pre-Seed; Seed"
"Daniel Yum","Daniel Yum",6d5e9966-730e-46ea-8b71-20215d30f8f5,YES,YES,YES,"https://linkedin.com/in/daniel-yum","Principal at Playground","SaaS; AI/ML","Seed; Series A"
