Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"Empowerment Capital","Empowerment Capital",c7930e5a-cf67-47ae-9d46-16e68b2f6b4f,YES,YES,YES,"https://linkedin.com/in/empowerment-capital","","Industry/Sector Agnostic","Series A"
"Enablement ManagerRachel Ruggieri (Firstround)","Enablement ManagerRachel Ruggieri (Firstround)",7e51e663-58fb-47de-999e-9a142ba04756,YES,NO,YES,"https://linkedin.com/in/enablement-managerrachel-ruggieri","Enablement Manager Rachel Ruggieri is an investor at Enablement ManagerRachel Ruggieri (Firstround) focused on AI, SaaS, Consumer investing at Seed and Series A stage.","AI; SaaS; Consumer","Seed; Series A"
"Endagon Studios","Endagon Studios",841e909d-3f48-412a-ab67-fc809bd35847,YES,YES,YES,"https://linkedin.com/in/endagon-studios","","Enterprise Software; Adtech; Insuretech; HR; Future of Work","Pre-Seed; Seed"
"Endless","Endless",796ea58b-b4e9-49fd-9683-1d19906800da,YES,YES,YES,"https://linkedin.com/in/endless","Private equity firm selling Hovis brand","SaaS; AI/ML","Seed; Series A"
"Endurance Investments","Endurance Investments",7b15d018-ca72-4a79-9666-813ab5454256,YES,YES,YES,"https://linkedin.com/in/endurance-investments","","Focus is on Latin American B2B solutions with early stage startups","Seed; Series A"
"Energy Impact Partners","Energy Impact Partners",2aaa9270-c571-45a0-be74-28f57fb70967,YES,NO,NO,"https://linkedin.com/in/energy-impact-partners","Energy Impact Partners is a vc firm focused on Clean Energy, Sustainability, Electric Mobility investing at Seed and Series A stage.","Clean Energy; Sustainability; Electric Mobility","Seed; Series A; Series B"
"Engineering ManagerCaleb OnofreiFinance","Engineering ManagerCaleb OnofreiFinance",d90e3d4a-cd20-4a05-ab47-c78b11a606b6,YES,YES,YES,"https://linkedin.com/in/engineering-managercaleb-onofreifinance","","SaaS; AI/ML; Materials; Manufacturing; DeepTech; Robotics","Seed; Series A"
"Eniac Ventures","Eniac Ventures",07e3db3d-8eb4-49fc-a399-8f64ca71d5b8,YES,YES,NO,"https://linkedin.com/in/eniac-ventures","Seed-stage VC firm focused on helping founders achieve product market fit.","Generalist","Seed"
"enterprise Connor Love (Lsvp)","enterprise Connor Love (Lsvp)",833c6586-1c70-4d97-a699-8f3cd29a6ee5,YES,YES,YES,"https://linkedin.com/in/enterprise-connor-love","","SaaS; AI/ML","Seed; Series A"
"Enterprise Six (Bvp)","Enterprise Six (Bvp)",47334c7a-98d0-4ffc-9bf2-365310e2ef85,YES,YES,YES,"","Team member at Bvp. Discovered from: https://www.bvp.com/atlas","Technology","Seed; Series A"
"EQT","EQT",8b61ad4d-2f9e-4613-91be-19c6a606e0c7,YES,YES,YES,"https://linkedin.com/in/eqt","Private equity firm mentioned in dealmaker hiring context","SaaS; AI/ML","Seed; Series A"
"Equation Angels | Southwestern","Equation Angels | Southwestern",c1425be4-a441-4029-a384-ed109cdd4484,YES,YES,YES,"https://linkedin.com/in/equation-angels-southwestern","","Enterprise Software; Minority Founders; Female Founders","Seed"
"Equity and Francisco (Pehub)","Equity and Francisco (Pehub)",6accd665-9144-4d2a-8407-ed566e377a81,YES,NO,YES,"","Team member at Pehub. Discovered from: https://www.pehub.com/","SaaS; AI/ML",""
"Eric Bahn","Eric Bahn",917abbc7-9bf5-4e0c-8c71-9370888a246a,YES,YES,YES,"https://linkedin.com/in/eric-bahn","Co-Founder and General Partner of Hustle Fund","SaaS; AI/ML","Seed; Series A"
"Eric Bahn (Hustle Fund)","Eric Bahn (Hustle Fund)",3cc105ca-1363-413a-bc9d-0e91d1701fdb,YES,YES,YES,"https://linkedin.com/in/eric-bahn","Co-founder and General Partner at Hustle Fund","SaaS; AI/ML","Seed; Series A"
"Eric Flaningam","Eric Flaningam",8530e51c-a1bb-44e1-acf4-70c840cb010b,YES,YES,YES,"https://linkedin.com/in/eric-flaningam","Research Associate at Felicis","SaaS; Consumer; Fintech","Seed; Series A"
"Eric FlaningamResearch (Felicis)","Eric FlaningamResearch (Felicis)",589f53eb-6845-4eb8-89b3-2ad54873054e,YES,YES,YES,"https://linkedin.com/in/eric-flaningamresearch","","SaaS; Consumer; Fintech","Seed; Series A"
"Eric Helfgott","Eric Helfgott",116537ef-38ec-4fcf-958c-ec92980d0cca,YES,YES,YES,"https://linkedin.com/in/eric-helfgott","Principal at Lowercarboncapital","SaaS; AI/ML","Seed; Series A"
"Eric Helfgott (Lowercarbon Capital)","Lowercarbon Capital",342ab231-1641-43ce-acfc-eef162fbb669,YES,YES,NO,"https://linkedin.com/in/eric-helfgott","Principal at Lowercarbon Capital","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
"Eric Helfgott (Lowercarboncapital)","Lowercarbon Capital",f1be2963-7cd0-4ab9-8d6c-7df7686cbfd9,YES,YES,NO,"https://linkedin.com/in/eric-helfgott","Eric Helfgott is a partner at Lowercarbon Capital. Climate tech focused on decarbonization","SaaS; AI/ML; Climate; Energy; DeepTech","Seed; Series A"
"Eric Hippeau","Eric Hippeau",bafd3c99-5a8b-42bc-8ca2-76f4439919d3,YES,YES,YES,"https://linkedin.com/in/eric-hippeau","Managing Partner at Lererhippeau since 2010","SaaS; AI/ML","Seed; Series A"
"Eric Hippeau (Lerer Hippeau)","Eric Hippeau (Lerer Hippeau)",07e981cc-0580-4e40-9096-e8bc0ed850a5,YES,YES,YES,"https://linkedin.com/in/eric-hippeau","Managing Partner at Lerer Hippeau since 2010","Generalist","Seed"
"Eric Johnson","Eric Johnson",1d664541-233b-432d-9845-8dc4f6dde36e,YES,YES,YES,"https://linkedin.com/in/eric-johnson","Operator at Khosla Ventures","SaaS; AI/ML","Seed; Series A"
"Eric Johnson (Khosla Ventures)","Khosla Ventures",43afa44c-9d35-4ae6-9afa-a07fde5f0a9e,YES,YES,NO,"https://linkedin.com/in/eric-johnson","Eric Johnson is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare; SpaceTech; Energy","Seed; Series A; Series B"
"Eric Slesinger","201 Ventures",7ebc112c-9d19-4b24-8d14-d962cb5e61d7,YES,YES,NO,"https://linkedin.com/in/eric-slesinger","","AI; SaaS; Fintech","Seed; Series A"
"Eric Wagner","Eric Wagner",ccbcc992-05ed-4ea8-a617-67ec47b58287,YES,NO,YES,"https://linkedin.com/in/eric-wagner","Director of Research and Data at Felicis","SaaS; AI/ML","Seed; Series A"
"Erica Knowlton Bennett","Erica Knowlton Bennett",5054d05a-a366-40f8-9c8a-f51bd761db16,YES,YES,YES,"https://linkedin.com/in/erica-knowlton-bennett","Chief of Staff at Firstround","SaaS; AI/ML","Seed; Series A"
"EricHippeau EricManaging (Lererhippeau)","EricHippeau EricManaging (Lererhippeau)",8011b161-55c1-463f-9115-2203a7fe174f,YES,YES,YES,"https://linkedin.com/in/erichippeau-ericmanaging","","SaaS; AI/ML","Seed; Series A"
"Erik de Stefanis","Interlace Ventures",c0267482-4ac6-4324-8580-d5a103de2ce6,YES,YES,YES,"https://linkedin.com/in/erik-de-stefanis","","CommerceTech; E-commerce; RetailTech; Consumer","Pre-seed; Seed"
"Erik Pavia","Erik Pavia",d2a5e242-dc77-4094-9400-7e420af4e35e,YES,YES,YES,"https://linkedin.com/in/erik-pavia","Chief of Staff at Village Global","SaaS; AI/ML","Seed; Series A"
"Erik Pavia (Village Global)","Erik Pavia (Village Global)",92fe1704-7d40-4ca2-a0f9-566cd744f616,YES,YES,YES,"https://linkedin.com/in/erik-pavia","Chief of Staff at Village Global","technology","seed; series_a"
"Erik Torenberg","Erik Torenberg",efd9cea8-16b9-479e-9e08-b4ed4d790a81,YES,YES,YES,"https://linkedin.com/in/erik-torenberg","Partner Emeritus at Village Global","SaaS; AI/ML","Seed; Series A"
"Erik Torenberg (Village Global)","Erik Torenberg (Village Global)",bce1bd4d-0abf-4786-aaf7-4a1479a975e6,YES,YES,YES,"https://linkedin.com/in/erik-torenberg","Partner Emeritus at Village Global","technology","seed; series_a"
"Erik Torenberg (Villageglobal)","Erik Torenberg (Villageglobal)",ce973cb3-e5c8-4055-bb1e-f297832671cd,YES,YES,YES,"https://linkedin.com/in/erik-torenberg","","SaaS; AI/ML","Seed; Series A"
"Erin Glenn","Erin Glenn",5264fe24-3864-4ab0-95ad-f4eb9aadd9ac,YES,YES,YES,"","Partner at Nyca Partners","SaaS; AI/ML; Consumer; Fintech","Pre-Seed; Seed"
